Journal title,SJR Impact,SJR Subject Category Best Quartile,Journal article processing charges (APCs),Currency,APC in EUR (including 19% taxes),APC below 2000 EUR,APC information URL,Average number of weeks between submission and publication,Subject category 1,Subject category 2,Journal license,Journal URL,Publisher,pISSN,eISSN
"Scars, Burns & Healing",-,-,750,GBP,1027,yes,https://journals.sagepub.com/author-instructions/sbh,15,Dermatology,Surgery,"CC BY, CC BY-NC",http://journals.sagepub.com/home/sbh,SAGE Publishing,NA,2059-5131
Psoriasis: Targets and Therapy,-,-,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=121,16,Dermatology,,"CC BY, CC BY-NC",https://www.dovepress.com/psoriasis-targets-and-therapy-journal,Dove Medical Press,NA,2230-326X
Dermatopathology,-,-,1200,CHF,1480,"yes, library special terms",https://www.mdpi.com/journal/dermatopathology/apc,6,Dermatology,,CC BY,https://www.mdpi.com/journal/dermatopathology,MDPI AG,NA,2296-3529
JID Innovations,-,-,2000,USD,2237,no,https://www.elsevier.com/journals/jid-innovations/2667-0267/open-access-journal,8,Dermatology,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/jid-innovations,Elsevier,NA,2667-0267
Skin Health and Disease,-,-,1909,EUR,2272,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/2690442x/article_publication_charges,10,Dermatology,,CC BY,https://onlinelibrary.wiley.com/journal/2690442x,Wiley,NA,2690-442X
Journal of Hematology & Oncology,6.046,Q1,3690,GBP,5055,no,https://jhoonline.biomedcentral.com/about,6,Diseases of the blood and blood-forming organs,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,"CC BY, CC0",https://jhoonline.biomedcentral.com/,BMC,NA,1756-8722
Experimental Hematology & Oncology,1.908,Q1,2590,GBP,3548,no,https://ehoonline.biomedcentral.com/about,6,Diseases of the blood and blood-forming organs,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,"CC BY, CC0",https://ehoonline.biomedcentral.com,BMC,NA,2162-3619
Research and Practice in Thrombosis and Haemostasis,1.32,Q1,2250,USD,2517,no,https://www.elsevier.com/journals/research-and-practice-in-thrombosis-and-haemostasis/2475-0379/open-access-information,7,Diseases of the blood and blood-forming organs,,"CC BY, CC BY-NC-ND",https://www.sciencedirect.com/journal/research-and-practice-in-thrombosis-and-haemostasis,Elsevier,NA,2475-0379
HemaSphere,1.145,Q1,1269,USD,1419,yes,https://journals.lww.com/hemasphere/Pages/instructionsforauthors.aspx,7,Diseases of the blood and blood-forming organs,,"CC BY, CC BY-SA, CC BY-ND, CC BY-NC, CC BY-NC-SA, CC BY-NC-ND",http://www.hemaspherejournal.com,Wolters Kluwer,NA,2572-9241
Therapeutic Advances in Hematology,1.011,Q2,2300,USD,2573,no,https://journals.sagepub.com/author-instructions/tah,7,Diseases of the blood and blood-forming organs,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/tah,SAGE Publishing,2040-6207,2040-6215
Thrombosis Journal,0.699,Q2,2390,GBP,3274,no,https://thrombosisjournal.biomedcentral.com/about,16,Diseases of the blood and blood-forming organs,,"CC BY, CC0",https://thrombosisjournal.biomedcentral.com,BMC,NA,1477-9560
Mediterranean Journal of Hematology and Infectious Diseases,0.614,Q2,600,EUR,714,yes,https://mjhid.org/index.php/mjhid/fees,12,Diseases of the blood and blood-forming organs,,CC BY-NC,http://www.mjhid.org/,Mattioli1885,NA,2035-3006
Anemia,0.57,Q3,925,USD,1035,yes,https://www.hindawi.com/journals/anemia/apc/,18,Diseases of the blood and blood-forming organs,,CC BY,https://www.hindawi.com/journals/anemia/,Hindawi Limited,2090-1267,2090-1275
Journal of Blood Medicine,0.538,Q3,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=85,16,Diseases of the blood and blood-forming organs,,"CC BY, CC BY-NC",https://www.dovepress.com/journal-of-blood-medicine-journal,Dove Medical Press,NA,1179-2736
Advances in Hematology,0.436,Q3,800,USD,895,yes,https://www.hindawi.com/journals/ah/apc/,15,Diseases of the blood and blood-forming organs,,CC BY,https://www.hindawi.com/journals/ah/,Hindawi Limited,1687-9104,1687-9112
Blood Science,0.346,Q3,No,-,0,yes,http://edmgr.ovid.com/bls/accounts/ifauth.htm,10,Diseases of the blood and blood-forming organs,,CC BY-NC-ND,https://journals.lww.com/bls/pages/default.aspx,Wolters Kluwer Health,NA,2543-6368
"Hematology, Transfusion and Cell Therapy",0.323,Q3,No,-,0,yes,https://www.elsevier.com/journals/hematology-transfusion-and-cell-therapy/2531-1379/open-access-journal,30,Diseases of the blood and blood-forming organs,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/hematology-transfusion-and-cell-therapy,Elsevier,2531-1379,2531-1387
Vascular Specialist International,0.289,Q3,No,-,0,yes,http://www.vsijournal.org/authors/sub01.html,17,Diseases of the blood and blood-forming organs,Diseases of the circulatory (Cardiovascular) system,CC BY-NC,http://www.vsijournal.org,Medrang,2288-7970,2288-7989
Hematology Reports,0.251,Q4,1600,CHF,1974,"yes, library special terms",https://www.mdpi.com/journal/hematolrep/apc,6,Diseases of the blood and blood-forming organs,,CC BY,https://www.mdpi.com/journal/hematolrep,MDPI AG,NA,2038-8330
International Journal of Hematologic Oncology,-,-,1415,USD,1583,yes,https://www.futuremedicine.com/authorguide/openaccess,13,Diseases of the blood and blood-forming organs,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,CC BY-NC-ND,https://www.futuremedicine.com/journal/IJH,Future Medicine Ltd,2045-1393,2045-1407
Case Reports in Hematology,-,-,725,USD,811,yes,https://www.hindawi.com/journals/crihem/apc/,13,Diseases of the blood and blood-forming organs,,CC BY,https://www.hindawi.com/journals/crihem/,Hindawi Limited,2090-6560,2090-6579
Clinical Medicine Insights: Blood Disorders,-,-,No,-,0,yes,https://journals.sagepub.com/description/BDX,8,Diseases of the blood and blood-forming organs,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/bdx,SAGE Publishing,NA,1179-545X
Blood and Lymphatic Cancer: Targets and Therapy,-,-,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=101,16,Diseases of the blood and blood-forming organs,,"CC BY, CC BY-NC",https://www.dovepress.com/blood-and-lymphatic-cancer-targets-and-therapy-journal,Dove Medical Press,NA,1179-9889
Clinical Hematology International,-,-,No,-,0,yes,https://www.springer.com/journal/44228/,20,Diseases of the blood and blood-forming organs,,CC BY,https://www.springer.com/journal/44228/,Springer,NA,2590-0048
eJHaem,-,-,2480,EUR,2951,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/26886146/homepage/article_publication_charges.html,8,Diseases of the blood and blood-forming organs,,"CC BY, CC BY-NC, CC BY-NC-ND",https://onlinelibrary.wiley.com/journal/26886146,Wiley,NA,2688-6146
JACC: Basic to Translational Science,2.629,Q1,3400,USD,3803,no,https://www.elsevier.com/journals/jacc-basic-to-translational-science/2452-302x/open-access-journal,16,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/jacc-basic-to-translational-science/,Elsevier,NA,2452-302X
JACC. CardioOncology,2.44,Q1,2500,USD,2796,no,https://www.elsevier.com/journals/jacccardioncology/2666-0873/open-access-journal,16,Diseases of the circulatory (Cardiovascular) system,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/jacc-cardiooncology,Elsevier,NA,2666-0873
Cardiovascular Diabetology,2.361,Q1,3090,GBP,4233,no,https://cardiab.biomedcentral.com/about,7,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC0",https://cardiab.biomedcentral.com/,BMC,NA,1475-2840
Journal of Cardiovascular Magnetic Resonance,2.233,Q1,2290,GBP,3137,no,https://jcmr-online.biomedcentral.com/about,20,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC0",https://jcmr-online.biomedcentral.com/,BMC,1097-6647,1532-429X
Journal of Stroke,2.079,Q1,No,-,0,yes,http://www.j-stroke.org/authors/authors.php,12,Diseases of the circulatory (Cardiovascular) system,,CC BY-NC,http://www.j-stroke.org,Korean Stroke Society,2287-6391,2287-6405
Journal of the American Heart Association: Cardiovascular and Cerebrovascular Disease,2.079,Q1,3700,USD,4139,"no, but DEAL special terms",https://www.ahajournals.org/jaha/openaccess,12,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC, CC BY-NC-ND",https://www.ahajournals.org/journal/jaha,Wiley,NA,2047-9980
Frontiers in Cardiovascular Medicine,1.391,Q1,2490,USD,2785,no,http://www.frontiersin.org/Cardiovascular_Medicine/fees,14,Diseases of the circulatory (Cardiovascular) system,,CC BY,http://www.frontiersin.org/Cardiovascular_Medicine,Frontiers Media S.A.,NA,2297-055X
Journal of Lipid and Atherosclerosis,1.027,Q1,No,-,0,yes,https://e-jla.org/index.php?body=bestpractice,12,Diseases of the circulatory (Cardiovascular) system,,CC BY-NC,https://www.e-jla.org/,The Korean Society of Lipid and Atherosclerosis,2287-2892,2288-2561
International Journal of Cardiology. Cardiovascular Risk and Prevention,1.011,Q1,2800,USD,3132,no,https://www.elsevier.com/journals/international-journal-of-cardiology-cardiovascular-risk-and-prevention/2772-4875/open-access-journal,10,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/international-journal-of-cardiology-cardiovascular-risk-and-prevention,Elsevier,NA,2772-4875
Cardiology and Therapy,1.004,Q1,4500,GBP,6165,"no, but DEAL special terms",https://www.springer.com/journal/40119/aims-and-scope,6,Diseases of the circulatory (Cardiovascular) system,,CC BY-NC,https://www.springer.com/journal/40119,"Adis, Springer Healthcare",2193-8261,2193-6544
European Cardiology Review,0.931,Q1,1750,GBP,2397,no,https://www.ecrjournal.com/guideline/author-guidelines#listItem5.3,10,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC",https://www.ecrjournal.com/,Radcliffe Medical Media,1758-3756,1758-3764
Arrhythmia & Electrophysiology Review,0.929,Q1,1750,GBP,2397,no,https://www.aerjournal.com/guideline/author-guidelines#listItem5.3,7,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC",https://www.aerjournal.com,Radcliffe Medical Media,2050-3369,2050-3377
ESC Heart Failure,0.899,Q1,3150,USD,3524,"no, but DEAL special terms",http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%292055-5822/homepage/article_publication_charges.htm,12,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC, CC BY-NC-ND",http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2055-5822,Wiley,NA,2055-5822
Echo Research and Practice,0.875,Q1,1790,GBP,2452,no,https://echo.biomedcentral.com/about,8,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC0",https://echo.biomedcentral.com/,BMC,NA,2055-0464
Global Heart,0.87,Q1,1175,GBP,1610,yes,https://globalheartjournal.com/about/submissions/,5,Diseases of the circulatory (Cardiovascular) system,Public aspects of medicine,CC BY,https://globalheartjournal.com/,Ubiquity Press,NA,2211-8179
International Journal of Cardiology: Heart & Vasculature,0.839,Q2,2490,USD,2785,no,https://www.elsevier.com/journals/ijc-heart-and-vasculature/2352-9067/open-access-journal,9,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/ijc-heart-and-vasculature/,Elsevier,NA,2352-9067
Open Heart,0.823,Q2,2060,GBP,2822,no,https://openheart.bmj.com/pages/authors/#article_publishing_charges,20,Diseases of the circulatory (Cardiovascular) system,,"CC BY-NC, CC BY, CC BY-NC-ND",https://openheart.bmj.com,BMJ Publishing Group,NA,2053-3624
Pulmonary Circulation,0.811,Q2,2200,USD,2461,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/20458940/homepage/open-access,12,Diseases of the circulatory (Cardiovascular) system,Diseases of the respiratory system,"CC BY, CC BY-NC",https://onlinelibrary.wiley.com/journal/20458940,Wiley,NA,2045-8940
Vascular Health and Risk Management,0.798,Q2,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=2,16,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC",https://www.dovepress.com/vascular-health-and-risk-management-journal,Dove Medical Press,1176-6344,1178-2048
Cardio-Oncology,0.79,Q2,2090,GBP,2863,no,https://cardiooncologyjournal.biomedcentral.com/about,7,Diseases of the circulatory (Cardiovascular) system,Neoplasms. Tumors. Oncology. Including cancer and carcinogens,"CC BY, CC0",https://cardiooncologyjournal.biomedcentral.com/,BMC,NA,2057-3804
Therapeutic Advances in Cardiovascular Disease,0.784,Q2,2000,USD,2237,no,https://journals.sagepub.com/author-instructions/tak,9,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/tak,SAGE Publishing,1753-9447,1753-9455
Journal of Cardiovascular Development and Disease,0.725,Q1,2000,CHF,2467,"yes, library special terms",http://www.mdpi.com/journal/jcdd/apc,6,Diseases of the circulatory (Cardiovascular) system,,CC BY,http://www.mdpi.com/journal/jcdd,MDPI AG,NA,2308-3425
Heart Rhythm O2,0.709,Q2,2150,USD,2405,no,https://www.elsevier.com/journals/heart-rhythm-o2/2666-5018/open-access-journal,17,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/heart-rhythm-o2,Elsevier,NA,2666-5018
Cardiac Failure Review,0.689,Q2,1750,GBP,2397,no,https://www.cfrjournal.com/guideline/author-guidelines#listItem5.3,12,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC",https://www.cfrjournal.com/,Radcliffe Medical Media,2057-7540,2057-7559
Clinical and Applied Thrombosis/Hemostasis,0.678,Q2,2500,USD,2796,no,https://journals.sagepub.com/author-instructions/CAT,8,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/cat,SAGE Publishing,1076-0296,1938-2723
CJC Open,0.642,Q2,2100,USD,2349,no,https://www.elsevier.com/journals/cjc-open/2589-790X/open-access-journal,16,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/cjc-open,Elsevier,NA,2589-790X
Cardiovascular Endocrinology & Metabolism,0.636,Q2,1200,USD,1342,yes,https://edmgr.ovid.com/caen/accounts/ifauth.htm,15,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-SA, CC BY-ND, CC BY-NC, CC BY-NC-SA, CC BY-NC-ND",https://journals.lww.com/cardiovascularendocrinology/pages/default.aspx,Wolters Kluwer Health - Lippincott Williams Wilkins,NA,2574-0954
Clinical Medicine Insights: Cardiology,0.627,Q2,1200,USD,1342,yes,https://journals.sagepub.com/author-instructions/cic,8,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/cic,SAGE Publishing,NA,1179-5468
Journal of Interventional Cardiology,0.609,Q2,2000,USD,2237,no,https://www.hindawi.com/journals/jitc/apc/,22,Diseases of the circulatory (Cardiovascular) system,,CC BY,https://www.hindawi.com/journals/jitc/,Hindawi-Wiley,0896-4327,1540-8183
Cardiovascular Digital Health Journal,0.608,Q2,2800,USD,3132,no,https://www.elsevier.com/journals/cardiovascular-digital-health-journal/2666-6936/open-access-journal,16,Diseases of the circulatory (Cardiovascular) system,Medical technology,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/cardiovascular-digital-health-journal,Elsevier,NA,2666-6936
BMC Cardiovascular Disorders,0.601,Q2,2190,GBP,3000,no,https://bmccardiovascdisord.biomedcentral.com/about,19,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC0",https://bmccardiovascdisord.biomedcentral.com,BMC,NA,1471-2261
JVS - Vascular Science,0.593,Q2,2800,USD,3132,no,https://www.elsevier.com/journals/jvs-vascular-science/2666-3503/open-access-journal,28,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/jvs-vascular-science,Elsevier,NA,2666-3503
"Clinical Medicine Insights: Circulatory, Respiratory and Pulmonary Medicine",0.59,Q2,1500,USD,1678,yes,https://journals.sagepub.com/author-instructions/cra,8,Diseases of the circulatory (Cardiovascular) system,Diseases of the respiratory system,"CC BY, CC BY-NC",https://journals.sagepub.com/home/cra,SAGE Publishing,NA,1179-5484
Cerebrovascular Diseases Extra,0.585,Q2,1220,CHF,1505,yes,https://www.karger.com/Journal/Guidelines/254735#sec62,17,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC",http://www.karger.com/cee,Karger Publishers,NA,1664-5456
Annals of Noninvasive Electrocardiology,0.574,Q2,2475,EUR,2945,"no, but DEAL special terms",https://onlinelibrary.wiley.com/page/journal/homepage/1542474x/articlepublicationcharges.html,15,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC, CC BY-NC-ND",https://onlinelibrary.wiley.com/journal/1542474x,Wiley,1082-720X,1542-474X
JMIR Cardio,0.571,Q2,1873,USD,2095,"yes, library special terms",https://cardio.jmir.org/fees/article-processing-fees,12,Diseases of the circulatory (Cardiovascular) system,,CC BY,https://cardio.jmir.org/,JMIR Publications,NA,2561-1011
Cardiovascular Ultrasound,0.562,Q2,2190,GBP,3000,no,https://cardiovascularultrasound.biomedcentral.com/about,7,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC0",https://cardiovascularultrasound.biomedcentral.com/,BMC,NA,1476-7120
Journal of Arrhythmia,0.541,Q2,No,USD,0,"yes, also under DEAL",https://onlinelibrary.wiley.com/page/journal/18832148/homepage/custom_copy.htm,45,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC, CC BY-NC-ND",https://onlinelibrary.wiley.com/journal/18832148,Wiley,1880-4276,1883-2148
Structural Heart,0.476,Q3,2340,USD,2617,no,https://www.elsevier.com/journals/structural-heart/2474-8706/open-access-information,10,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC-ND",https://www.sciencedirect.com/journal/structural-heart,Elsevier,2474-8706,2474-8714
International Journal of Hypertension,0.464,Q3,1500,USD,1678,yes,https://www.hindawi.com/journals/ijhy/apc/,16,Diseases of the circulatory (Cardiovascular) system,,CC BY,https://www.hindawi.com/journals/ijhy/,Hindawi Limited,2090-0384,2090-0392
Cardiology Research and Practice,0.461,Q3,2375,USD,2657,no,https://www.hindawi.com/journals/crp/apc/,13,Diseases of the circulatory (Cardiovascular) system,,CC BY,https://www.hindawi.com/journals/crp/,Hindawi Limited,2090-8016,2090-0597
Atherosclerosis Plus,0.377,Q3,2050,USD,2293,no,https://www.elsevier.com/journals/atherosclerosis-plus/2667-0895/open-access-journal,11,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/atherosclerosis-plus,Elsevier,NA,2667-0895
HeartRhythm Case Reports,0.37,Q3,1100,USD,1230,yes,https://www.elsevier.com/journals/heartrhythm-case-reports/2214-0271/open-access-journal,30,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/heartrhythm-case-reports/,Elsevier,NA,2214-0271
Arquivos Brasileiros de Cardiologia,0.359,Q3,No,-,0,yes,http://www.scielo.br/revistas/abc/iinstruc.htm,10,Diseases of the circulatory (Cardiovascular) system,,CC BY-NC,http://www.scielo.br/scielo.php?script=sci_serial&pid=0066-782X&lng=en&nrm=iso,Sociedade Brasileira de Cardiologia (SBC),0066-782X,1678-4170
Global Cardiology Science & Practice,0.348,Q3,No,-,0,yes,https://globalcardiologyscienceandpractice.com/index.php/gcsp/about/editorialPolicies#focusAndScope,25,Diseases of the circulatory (Cardiovascular) system,,CC BY,https://globalcardiologyscienceandpractice.com/,Magdi Yacoub Institute,NA,2305-7823
Journal of Cardiovascular and Thoracic Research,0.339,Q3,No,-,0,yes,https://jcvtr.tbzmed.ac.ir/EditorialPolicies,7,Diseases of the circulatory (Cardiovascular) system,,CC BY,http://jcvtr.tbzmed.ac.ir/,Tabriz University of Medical Sciences,2008-5117,2008-6830
CVIR Endovascular,0.326,Q3,1890,GBP,2589,"no, but DEAL special terms",https://cvirendovasc.springeropen.com/about,5,Diseases of the circulatory (Cardiovascular) system,,CC BY,https://cvirendovasc.springeropen.com/,SpringerOpen,NA,2520-8934
International Journal of Vascular Medicine,0.298,Q3,925,USD,1035,yes,https://www.hindawi.com/journals/ijvm/apc/,16,Diseases of the circulatory (Cardiovascular) system,,CC BY,https://www.hindawi.com/journals/ijvm/,Hindawi Limited,2090-2824,2090-2832
JTCVS Open,0.291,Q3,2205,USD,2466,no,https://www.elsevier.com/journals/jtcvs-open/2666-2736/open-access-journal,17,Diseases of the circulatory (Cardiovascular) system,Surgery,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/jtcvs-open,Elsevier,NA,2666-2736
European Heart Journal: Case Reports,0.289,Q3,468,GBP,641,yes,https://academic.oup.com/ehjcr/pages/General_Instructions#Open Access Option for Authors,14,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC",https://academic.oup.com/ehjcr,Oxford University Press,NA,2514-2119
JACC: Case Reports,0.285,Q3,700,USD,783,yes,https://www.elsevier.com/journals/jacc-case-reports/2666-0849/open-access-journal,17,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/jacc-case-reports,Elsevier,NA,2666-0849
EJVES Vascular Forum,0.224,Q3,1630,USD,1823,yes,https://www.elsevier.com/journals/ejves-vascular-forum/2666-688x/open-access-journal,27,Diseases of the circulatory (Cardiovascular) system,Surgery,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/ejves-vascular-forum,Elsevier,NA,2666-688X
Journal of Tehran University Heart Center,0.165,Q4,No,-,0,yes,https://jthc.tums.ac.ir/index.php/jthc/about,12,Diseases of the circulatory (Cardiovascular) system,,CC BY-NC,https://jthc.tums.ac.ir,Tehran University of Medical Sciences,1735-8620,2008-2371
Archivos de Cardiología de México,0.134,Q4,No,-,0,yes,http://archivoscardiologia.com/seccion.php?id=71&scc=fuentes-de-ingreso---funding,18,Diseases of the circulatory (Cardiovascular) system,,CC BY-NC-ND,http://www.archivoscardiologia.com/index.php,Permanyer,1405-9940,1665-1731
Heart International,0.113,Q4,1900,EUR,2261,no,http://www.touchcardio.com/about-us,7,Diseases of the circulatory (Cardiovascular) system,,CC BY-NC,http://www.touchcardio.com/journals/heart-international,Touch Medical Media,1826-1868,2036-2579
Heart Views,-,-,No,-,0,yes,https://www.heartviews.org/contributors.asp,28,Diseases of the circulatory (Cardiovascular) system,,CC BY-NC-SA,http://www.heartviews.org/,Wolters Kluwer Medknow Publications,1995-705X,0976-5123
Case Reports in Cardiology,-,-,725,USD,811,yes,https://www.hindawi.com/journals/cric/apc/,13,Diseases of the circulatory (Cardiovascular) system,,CC BY,https://www.hindawi.com/journals/cric/,Hindawi Limited,2090-6404,2090-6412
Case Reports in Vascular Medicine,-,-,725,USD,811,yes,https://www.hindawi.com/journals/crivam/apc/,15,Diseases of the circulatory (Cardiovascular) system,,CC BY,https://www.hindawi.com/journals/crivam/,Hindawi Limited,2090-6986,2090-6994
Research in Cardiovascular Medicine,-,-,No,-,0,yes,https://www.rcvmonline.com/contributors.asp,17,Diseases of the circulatory (Cardiovascular) system,,CC BY-NC-SA,http://www.rcvmonline.com,Wolters Kluwer Medknow Publications,2251-9572,2251-9580
International Journal of Heart Failure,-,-,No,-,0,yes,https://e-heartfailure.org/index.php?body=bestpractice#best8,6,Diseases of the circulatory (Cardiovascular) system,,CC BY-NC,https://e-heartfailure.org/index.php,Korean Society of Heart Failure,2636-154X,2636-1558
JRSM Cardiovascular Disease,-,-,1155,USD,1292,yes,https://journals.sagepub.com/author-instructions/cvd,12,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/cvd,SAGE Publishing,NA,2048-0040
Pulse,-,-,1040,EUR,1238,yes,https://www.karger.com/Journal/Guidelines/257208#sec63,15,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC",https://www.karger.com/Journal/Home/257208,Karger Publishers,NA,2235-8668
TH Open,-,-,2500,EUR,2975,no,https://www.thieme.com/media/ita/THOpen_authors_instructions.pdf,12,Diseases of the circulatory (Cardiovascular) system,,CC BY,https://doi.org/10.1055/s-00033990,Georg Thieme Verlag KG,NA,2512-9465
Vascular Biology,-,-,No,-,0,yes,https://vb.bioscientifica.com/page/charges/publication-charges,13,Diseases of the circulatory (Cardiovascular) system,Physiology,"CC BY, CC BY-NC, CC BY-NC-ND",https://vb.bioscientifica.com/,Bioscientifica,NA,2516-5658
International Journal of Cardiology. Hypertension,-,-,2800,USD,3132,no,https://www.elsevier.com/journals/international-journal-of-cardiology-hypertension/2590-0862/open-access-journal,13,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC-ND",https://www.sciencedirect.com/journal/international-journal-of-cardiology-hypertension,Elsevier,NA,2590-0862
European Heart Journal: Digital Health,-,-,2461,GBP,3371,no,https://academic.oup.com/ehjdh/pages/general-instructions#Open%20Access,9,Diseases of the circulatory (Cardiovascular) system,Medical technology,"CC BY, CC BY-NC",https://academic.oup.com/ehjdh,Oxford University Press,NA,2634-3916
American Journal of Preventive Cardiology,-,-,1600,USD,1790,yes,https://www.elsevier.com/journals/american-journal-of-preventive-cardiology/2666-6677/open-access-journal,10,Diseases of the circulatory (Cardiovascular) system,Public aspects of medicine,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/american-journal-of-preventive-cardiology/,Elsevier,NA,2666-6677
European Heart Journal Open,-,-,1765,GBP,2418,no,https://academic.oup.com/ehjopen/pages/general-instructions#Open%20Access,6,Diseases of the circulatory (Cardiovascular) system,,"CC BY, CC BY-NC",https://academic.oup.com/ehjopen,Oxford University Press,NA,2752-4191
JHEP Reports,2.907,Q1,2000,EUR,2380,no,https://www.elsevier.com/journals/jhep-reports/2589-5559/open-access-journal,15,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/jhep-reports,Elsevier,NA,2589-5559
Gut Microbes,2.6,Q1,3170,GBP,4343,no,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=kgmi20#article-publishing-charge,10,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC",https://www.tandfonline.com/journals/kgmi,Taylor & Francis Group,1949-0976,1949-0984
Cellular and Molecular Gastroenterology and Hepatology,2.454,Q1,2500,USD,2796,no,https://www.elsevier.com/journals/cellular-and-molecular-gastroenterology-and-hepatology/2352-345x/open-access-journal,19,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/cellular-and-molecular-gastroenterology-and-hepatology/,Elsevier,NA,2352-345X
Hepatology Communications,1.722,Q1,2700,USD,3020,no,https://journals.lww.com/hepcomm/Pages/Open-Access.aspx,8,Diseases of the digestive system. Gastroenterology,,"CC BY, CC BY-NC-ND",https://journals.lww.com/hepcomm/pages/default.aspx,Wolters Kluwer Health/LWW,NA,2471-254X
Intestinal Research,1.449,Q1,No,-,0,yes,http://www.irjournal.org/authors/sub01.html,38,Diseases of the digestive system. Gastroenterology,,CC BY-NC,http://www.irjournal.org,Korean Association for the Study of Intestinal Diseases,1598-9100,2288-1956
Clinical and Translational Gastroenterology,1.359,Q1,2800,USD,3132,no,http://edmgr.ovid.com/ctg/accounts/ifauth.htm,16,Diseases of the digestive system. Gastroenterology,,CC BY-NC-ND,http://www.clintranslgastro.com,Wolters Kluwer,NA,2155-384X
